year,income,Subregion,financial hardship
2017,Lower-middle,Northern Africa,36.85
2017,Lower-middle,Southern Africa,21.259999999999998
2017,Lower-middle,Western Africa,
2017,Upper-middle,Eastern Africa,
2017,Upper-middle,Central Africa,20.56
2017,Upper-middle,Northern Africa,
2017,Upper-middle,Southern Africa,9.5
2018,Low,Eastern Africa,21.19
2018,Low,Central Africa,33.64
2018,Low,Northern Africa,
2018,Low,Southern Africa,
2018,Low,Western Africa,42.20666666666667
2018,Lower-middle,Eastern Africa,32.99
2018,Lower-middle,Central Africa,
2018,Lower-middle,Northern Africa,
2018,Lower-middle,Southern Africa,39.53
2018,Lower-middle,Western Africa,35.65
2018,Upper-middle,Eastern Africa,
2018,Upper-middle,Central Africa,
2018,Upper-middle,Northern Africa,
2018,Upper-middle,Southern Africa,
2019,Low,Eastern Africa,36.15
2019,Low,Central Africa,
2019,Low,Northern Africa,
2019,Low,Southern Africa,36.480000000000004
2019,Low,Western Africa,45.37
2019,Lower-middle,Eastern Africa,
2019,Lower-middle,Central Africa,
2019,Lower-middle,Northern Africa,36.91
2019,Lower-middle,Southern Africa,
2019,Lower-middle,Western Africa,
2019,Upper-middle,Eastern Africa,
2019,Upper-middle,Central Africa,
2019,Upper-middle,Northern Africa,
2019,Upper-middle,Southern Africa,
2020,Low,Eastern Africa,
2020,Low,Central Africa,
2020,Low,Northern Africa,
2020,Low,Southern Africa,
2020,Low,Western Africa,
2020,Lower-middle,Eastern Africa,37.52
2020,Lower-middle,Central Africa,
2020,Lower-middle,Northern Africa,
2020,Lower-middle,Southern Africa,
2020,Lower-middle,Western Africa,
2020,Upper-middle,Eastern Africa,
2020,Upper-middle,Central Africa,
2020,Upper-middle,Northern Africa,
2020,Upper-middle,Southern Africa,
2021,Low,Eastern Africa,16.29
2021,Low,Central Africa,52.97
2021,Low,Northern Africa,
2021,Low,Southern Africa,
2021,Low,Western Africa,38.006
2021,Lower-middle,Eastern Africa,
2021,Lower-middle,Central Africa,
2021,Lower-middle,Northern Africa,31.18
