year,income,Subregion,min_budget_priority,max_budget_priority,range_budget_priority
2018,High,Eastern Africa,9.58416653,9.58416653,0.0
2018,Low,Eastern Africa,2.10620522,10.42956638,8.323361160000001
2018,Low,Central Africa,3.9108746100000005,4.861495489999999,0.9506208799999989
2018,Low,Northern Africa,6.17103291,6.17103291,0.0
2018,Low,Southern Africa,5.73160601,8.713311200000001,2.9817051900000013
2018,Low,Western Africa,2.594297889999999,8.785023690000001,6.190725800000002
2018,Lower-middle,Eastern Africa,3.9939124599999998,9.414731980000001,5.420819520000001
2018,Lower-middle,Central Africa,1.9570337500000001,9.38566875,7.428635000000001
2018,Lower-middle,Northern Africa,4.72158527,10.78331375,6.061728479999999
2018,Lower-middle,Southern Africa,5.364319320000001,10.77791023,5.413590909999999
2018,Lower-middle,Western Africa,3.8791775700000004,11.265526770000001,7.386349200000001
2018,Upper-middle,Central Africa,4.2775425899999995,9.415206909999998,5.137664319999999
2018,Upper-middle,Northern Africa,9.27033234,10.606168750000002,1.3358364100000024
2018,Upper-middle,Southern Africa,10.20625019,15.28983974,5.083589549999999
2019,High,Eastern Africa,9.58416653,9.58416653,0.0
2019,Low,Eastern Africa,2.10620522,7.90786219,5.80165697
2019,Low,Central Africa,4.842317580000001,4.861495489999999,0.019177909999998022
2019,Low,Northern Africa,5.55815172,5.55815172,0.0
2019,Low,Southern Africa,6.52060223,7.938600540000001,1.4179983100000015
2019,Low,Western Africa,2.44074059,9.576910970000002,7.136170380000002
2019,Lower-middle,Eastern Africa,4.13345671,9.438010219999999,5.304553509999999
2019,Lower-middle,Central Africa,2.1798591600000004,9.777804370000002,7.597945210000002
2019,Lower-middle,Northern Africa,4.822846889999999,12.078944209999998,7.2560973199999985
2019,Lower-middle,Southern Africa,3.2664911699999997,12.93035984,9.66386867
2019,Lower-middle,Western Africa,3.1248140300000005,11.783460620000001,8.65864659
2019,Upper-middle,Central Africa,4.79222822,9.591558459999998,4.799330239999998
2019,Upper-middle,Northern Africa,8.36049366,8.830361370000002,0.4698677100000026
2019,Upper-middle,Southern Africa,9.0032053,15.28983974,6.28663444
2020,High,Eastern Africa,9.58416653,9.58416653,0.0
2020,Low,Eastern Africa,2.10620522,7.3328781099999985,5.226672889999998
2020,Low,Central Africa,3.954435110000001,4.864420410000001,0.9099853000000002
2020,Low,Northern Africa,9.54511547,9.54511547,0.0
