year,income,Subregion,countries_below_abuja
2017,Lower-middle,Western Africa,7
2017,Upper-middle,Eastern Africa,1
2017,Upper-middle,Central Africa,2
2017,Upper-middle,Northern Africa,2
2017,Upper-middle,Southern Africa,3
2018,Low,Eastern Africa,9
2018,Low,Central Africa,2
2018,Low,Northern Africa,1
2018,Low,Southern Africa,2
2018,Low,Western Africa,8
2018,Lower-middle,Eastern Africa,4
2018,Lower-middle,Central Africa,3
2018,Lower-middle,Northern Africa,4
2018,Lower-middle,Southern Africa,5
2018,Lower-middle,Western Africa,7
2018,Upper-middle,Eastern Africa,1
2018,Upper-middle,Central Africa,2
2018,Upper-middle,Northern Africa,2
2018,Upper-middle,Southern Africa,3
2019,Low,Eastern Africa,9
2019,Low,Central Africa,2
2019,Low,Northern Africa,1
2019,Low,Southern Africa,2
2019,Low,Western Africa,8
2019,Lower-middle,Eastern Africa,4
2019,Lower-middle,Central Africa,3
2019,Lower-middle,Northern Africa,4
2019,Lower-middle,Southern Africa,5
2019,Lower-middle,Western Africa,7
2019,Upper-middle,Eastern Africa,1
2019,Upper-middle,Central Africa,2
2019,Upper-middle,Northern Africa,2
2019,Upper-middle,Southern Africa,3
2020,Low,Eastern Africa,9
2020,Low,Central Africa,2
2020,Low,Northern Africa,1
2020,Low,Southern Africa,2
2020,Low,Western Africa,8
2020,Lower-middle,Eastern Africa,4
2020,Lower-middle,Central Africa,3
2020,Lower-middle,Northern Africa,4
2020,Lower-middle,Southern Africa,5
2020,Lower-middle,Western Africa,7
2020,Upper-middle,Eastern Africa,1
2020,Upper-middle,Central Africa,2
2020,Upper-middle,Northern Africa,2
2020,Upper-middle,Southern Africa,2
2021,Low,Eastern Africa,9
2021,Low,Central Africa,2
2021,Low,Northern Africa,1
2021,Low,Southern Africa,2
2021,Low,Western Africa,8
2021,Lower-middle,Eastern Africa,4
2021,Lower-middle,Central Africa,3
2021,Lower-middle,Northern Africa,4
2021,Lower-middle,Southern Africa,5
2021,Lower-middle,Western Africa,7
2021,Upper-middle,Eastern Africa,1
2021,Upper-middle,Central Africa,2
2021,Upper-middle,Northern Africa,2
2021,Upper-middle,Southern Africa,2
2022,Low,Eastern Africa,9
2022,Low,Central Africa,2
2022,Low,Northern Africa,1
2022,Low,Southern Africa,2
2022,Low,Western Africa,8
2022,Lower-middle,Eastern Africa,4
2022,Lower-middle,Central Africa,3
2022,Lower-middle,Northern Africa,4
2022,Lower-middle,Southern Africa,5
2022,Lower-middle,Western Africa,6
2022,Upper-middle,Eastern Africa,1
2022,Upper-middle,Central Africa,2
2022,Upper-middle,Northern Africa,2
2022,Upper-middle,Southern Africa,2
2023,Low,Eastern Africa,9
2023,Low,Central Africa,2
2023,Low,Northern Africa,1
2023,Low,Southern Africa,2
2023,Low,Western Africa,8
2023,Lower-middle,Eastern Africa,4
2023,Lower-middle,Central Africa,3
2023,Lower-middle,Northern Africa,4
2023,Lower-middle,Southern Africa,5
2023,Lower-middle,Western Africa,7
2023,Upper-middle,Eastern Africa,1
2023,Upper-middle,Central Africa,2
2023,Upper-middle,Northern Africa,2
2023,Upper-middle,Southern Africa,3
