year,income,Subregion,avg_budget_priority_gap
2017,High,Eastern Africa,5.453701970000001
2017,Low,Eastern Africa,10.45684549125
2017,Low,Central Africa,10.030813455
2017,Low,Northern Africa,6.675005909999998
2017,Low,Southern Africa,7.867910864999999
2017,Low,Western Africa,9.21041259125
2017,Lower-middle,Eastern Africa,8.8244175925
2017,Lower-middle,Central Africa,10.03060343
2017,Lower-middle,Northern Africa,7.46187675
2017,Lower-middle,Southern Africa,6.131921674
2017,Lower-middle,Western Africa,9.294373852857143
2017,Upper-middle,Central Africa,8.174315455
2017,Upper-middle,Northern Africa,5.265642645000002
2017,Upper-middle,Southern Africa,2.153004963333334
2018,High,Eastern Africa,5.415833470000001
2018,Low,Eastern Africa,9.863780576666667
2018,Low,Central Africa,10.61381495
2018,Low,Northern Africa,8.828967089999999
2018,Low,Southern Africa,7.777541394999999
2018,Low,Western Africa,9.354338703749999
2018,Lower-middle,Eastern Africa,8.5507031075
2018,Lower-middle,Central Africa,10.056699476666665
2018,Lower-middle,Northern Africa,8.1348778025
2018,Lower-middle,Southern Africa,6.730933
2018,Lower-middle,Western Africa,9.330075025714285
2018,Upper-middle,Central Africa,8.153625250000001
2018,Upper-middle,Northern Africa,5.061749454999999
2018,Upper-middle,Southern Africa,3.014466286666666
2019,High,Eastern Africa,5.415833470000001
2019,Low,Eastern Africa,10.636463006666666
2019,Low,Central Africa,10.148093464999999
2019,Low,Northern Africa,9.44184828
2019,Low,Southern Africa,7.7703986149999995
2019,Low,Western Africa,9.12088281
2019,Lower-middle,Eastern Africa,8.2600499375
2019,Lower-middle,Central Africa,9.311694783333332
2019,Lower-middle,Northern Africa,7.403265237500001
2019,Lower-middle,Southern Africa,6.622530985999999
2019,Lower-middle,Western Africa,8.89605948
2019,Upper-middle,Central Africa,7.808106660000001
2019,Upper-middle,Northern Africa,6.404572484999999
2019,Upper-middle,Southern Africa,3.302837053333333
2020,High,Eastern Africa,5.415833470000001
2020,Low,Eastern Africa,10.103581774444443
2020,Low,Central Africa,10.59057224
2020,Low,Northern Africa,5.454884529999999
2020,Low,Southern Africa,8.03127766
2020,Low,Western Africa,8.40515232125
2020,Lower-middle,Eastern Africa,8.775288345
2020,Lower-middle,Central Africa,6.773219506666667
2020,Lower-middle,Northern Africa,7.428659679999999
2020,Lower-middle,Southern Africa,6.610180474000001
2020,Lower-middle,Western Africa,8.53251109857143
2020,Upper-middle,Central Africa,7.006530045000001
2020,Upper-middle,Northern Africa,5.713248254999999
2020,Upper-middle,Southern Africa,4.672756675
2021,High,Eastern Africa,5.415833470000001
2021,Low,Eastern Africa,9.485672076666667
2021,Low,Central Africa,8.96867657
2021,Low,Northern Africa,7.138587950000002
2021,Low,Southern Africa,8.565491915
2021,Low,Western Africa,9.23508858625
2021,Lower-middle,Eastern Africa,9.38245827
2021,Lower-middle,Central Africa,6.925871136666667
2021,Lower-middle,Northern Africa,6.58435929
2021,Lower-middle,Southern Africa,6.354761412
2021,Lower-middle,Western Africa,8.60653622
2021,Upper-middle,Central Africa,5.70553255
2021,Upper-middle,Northern Africa,7.1300003499999995
2021,Upper-middle,Southern Africa,2.245821955000001
2022,High,Eastern Africa,5.415833470000001
2022,Low,Eastern Africa,10.348275925555555
2022,Low,Central Africa,7.130034685
2022,Low,Northern Africa,10.37739372
2022,Low,Southern Africa,9.877810834999998
2022,Low,Western Africa,9.41952091625
2022,Lower-middle,Eastern Africa,9.0951986325
2022,Lower-middle,Central Africa,9.738914886666668
2022,Lower-middle,Northern Africa,6.964367984999999
2022,Lower-middle,Southern Africa,6.230495833999998
2022,Lower-middle,Western Africa,10.074153345000001
2022,Upper-middle,Central Africa,7.273555515000001
2022,Upper-middle,Northern Africa,9.842861410000001
2022,Upper-middle,Southern Africa,3.390326025000002
2023,High,Eastern Africa,5.415833470000001
2023,Low,Eastern Africa,9.875942972222223
2023,Low,Central Africa,7.130034685
2023,Low,Northern Africa,7.853825570000001
2023,Low,Southern Africa,9.975162625
2023,Low,Western Africa,9.7596801525
2023,Lower-middle,Eastern Africa,9.1461337825
2023,Lower-middle,Central Africa,8.963965496666667
2023,Lower-middle,Northern Africa,6.106134415
2023,Lower-middle,Southern Africa,6.6012566559999994
2023,Lower-middle,Western Africa,8.431792668571429
2023,Upper-middle,Central Africa,7.2715668650000005
2023,Upper-middle,Northern Africa,7.1300962
2023,Upper-middle,Southern Africa,2.3847424200000007
