year,income,Subregion,gini_budget_priority
2015,Low,Middle Africa,0.1163772123960165
2015,Low,Northern Africa,0.0
2015,Low,Southern Africa,0.13656954328338267
2015,Low,Western Africa,0.17045281831275805
2015,Lower-middle,Eastern Africa,0.22977996536112077
2015,Lower-middle,Middle Africa,0.2201576086267918
2015,Lower-middle,Northern Africa,0.19168066369756853
2015,Lower-middle,Southern Africa,0.15858264703918823
2015,Lower-middle,Western Africa,0.2620641997796249
2015,Upper-middle,Eastern Africa,0.0
2015,Upper-middle,Middle Africa,0.297345743853618
2015,Upper-middle,Northern Africa,0.08528264369324434
2015,Upper-middle,Southern Africa,0.10151501784329398
2016,Low,Eastern Africa,0.3150818085323257
2016,Low,Middle Africa,0.036444743659268086
2016,Low,Northern Africa,0.0
2016,Low,Southern Africa,0.1174563467994636
2016,Low,Western Africa,0.22781017842185336
2016,Lower-middle,Eastern Africa,0.21718388344512962
2016,Lower-middle,Middle Africa,0.3248902416995574
2016,Lower-middle,Northern Africa,0.194669915859647
2016,Lower-middle,Southern Africa,0.13685214382546662
2016,Lower-middle,Western Africa,0.16620584550536766
2016,Upper-middle,Eastern Africa,0.0
2016,Upper-middle,Middle Africa,0.24737960401026626
2016,Upper-middle,Northern Africa,0.017008806717487834
2016,Upper-middle,Southern Africa,0.08837606451394775
2017,Low,Eastern Africa,0.32569974393713874
2017,Low,Middle Africa,0.02925939611711592
2017,Low,Northern Africa,0.0
2017,Low,Southern Africa,0.07413845964223231
2017,Low,Western Africa,0.24468911202380572
2017,Lower-middle,Eastern Africa,0.20035785477047696
2017,Lower-middle,Middle Africa,0.44844364004273185
2017,Lower-middle,Northern Africa,0.16138257108624288
2017,Lower-middle,Southern Africa,0.14695214553746583
2017,Lower-middle,Western Africa,0.2031594901751721
2017,Upper-middle,Eastern Africa,0.0
2017,Upper-middle,Middle Africa,0.21165590322486882
2017,Upper-middle,Northern Africa,0.04477350754707121
2017,Upper-middle,Southern Africa,0.07222077942021476
2018,Low,Eastern Africa,0.26337019308195164
2018,Low,Middle Africa,0.05418267065590365
2018,Low,Northern Africa,0.0
2018,Low,Southern Africa,0.10320949392274148
2018,Low,Western Africa,0.1899065002900373
2018,Lower-middle,Eastern Africa,0.17745544781105038
2018,Lower-middle,Middle Africa,0.3339484965531929
2018,Lower-middle,Northern Africa,0.18705529904371354
2018,Lower-middle,Southern Africa,0.12572883823531766
2018,Lower-middle,Western Africa,0.20596134127862542
2018,Upper-middle,Eastern Africa,0.0
2018,Upper-middle,Middle Africa,0.18760528409579114
2018,Upper-middle,Northern Africa,0.033603409472104495
2018,Upper-middle,Southern Africa,0.08740565038435899
2019,Low,Eastern Africa,0.21771620471758935
2019,Low,Middle Africa,0.0009881636147384132
2019,Low,Northern Africa,0.0
2019,Low,Southern Africa,0.04903445689765373
2019,Low,Western Africa,0.20964372123912378
2019,Lower-middle,Eastern Africa,0.17600092187255734
2019,Lower-middle,Middle Africa,0.2968251886241624
2019,Lower-middle,Northern Africa,0.188383569601426
2019,Lower-middle,Southern Africa,0.25240462775407924
2019,Lower-middle,Western Africa,0.26037429462811046
2019,Upper-middle,Eastern Africa,0.0
2019,Upper-middle,Middle Africa,0.16683125058692805
2019,Upper-middle,Northern Africa,0.013666211168089637
2019,Upper-middle,Southern Africa,0.10388797154662055
2020,Low,Eastern Africa,0.20099145611223324
2020,Low,Middle Africa,0.05159316296407601
2020,Low,Northern Africa,0.0
2020,Low,Southern Africa,0.006845030935757279
2020,Low,Western Africa,0.2287275655667098
2020,Lower-middle,Eastern Africa,0.16268379723847626
2020,Lower-middle,Middle Africa,0.24701142614282112
2020,Lower-middle,Northern Africa,0.19631612150938182
2020,Lower-middle,Southern Africa,0.1404346170199109
2020,Lower-middle,Western Africa,0.2648393548514516
2020,Upper-middle,Eastern Africa,0.0
2020,Upper-middle,Middle Africa,0.09996212621030565
2020,Upper-middle,Northern Africa,0.024575099428373992
2020,Upper-middle,Southern Africa,0.13016104867002487
2021,Low,Eastern Africa,0.2096868427887626
2021,Low,Middle Africa,0.03228242147179938
2021,Low,Northern Africa,0.0
2021,Low,Southern Africa,0.052694553028912905
2021,Low,Western Africa,0.21940417364036957
2021,Lower-middle,Eastern Africa,0.2035951124122759
2021,Lower-middle,Middle Africa,0.28292555158441424
2021,Lower-middle,Northern Africa,0.12498414039351324
2021,Lower-middle,Southern Africa,0.1501237463361027
2021,Lower-middle,Western Africa,0.3244767118862062
2021,Upper-middle,Eastern Africa,0.0
2021,Upper-middle,Middle Africa,0.01598214268855136
2021,Upper-middle,Northern Africa,0.060897697117432426
2021,Upper-middle,Southern Africa,0.08456236730146616
2022,Low,Eastern Africa,0.20061739496820463
2022,Low,Middle Africa,0.038515539823570144
2022,Low,Northern Africa,0.0
2022,Low,Southern Africa,0.17913034992334187
2022,Low,Western Africa,0.17058130750202039
2022,Lower-middle,Eastern Africa,0.12469855479435821
2022,Lower-middle,Middle Africa,0.20353617240535615
2022,Lower-middle,Northern Africa,0.12854718590545144
2022,Lower-middle,Southern Africa,0.18446535673839137
2022,Lower-middle,Western Africa,0.3205217341666644
2022,Upper-middle,Eastern Africa,0.0
2022,Upper-middle,Middle Africa,0.12069678224058289
2022,Upper-middle,Northern Africa,0.009154828627554457
2022,Upper-middle,Southern Africa,0.11655097266792613
2023,Low,Eastern Africa,0.23072068687528824
2023,Low,Middle Africa,0.038515539823570144
2023,Low,Northern Africa,0.0
2023,Low,Southern Africa,0.17291378360279785
2023,Low,Western Africa,0.16825992336291318
2023,Lower-middle,Eastern Africa,0.12795884916804567
2023,Lower-middle,Middle Africa,0.17895220399771916
2023,Lower-middle,Northern Africa,0.15565024516277326
2023,Lower-middle,Southern Africa,0.1802640929945296
2023,Lower-middle,Western Africa,0.30410720451018913
2023,Upper-middle,Eastern Africa,0.0
2023,Upper-middle,Middle Africa,0.12053706698725275
2023,Upper-middle,Northern Africa,0.10810610670997
2023,Upper-middle,Southern Africa,0.12017803241876135
