year,income,Subregion,avg_uhc_index
2014,Upper-middle,Southern Africa,64.25
2015,Low,Eastern Africa,39.0
2015,Low,Central Africa,28.5
2015,Low,Northern Africa,45.0
2015,Low,Southern Africa,45.0
2015,Low,Western Africa,41.0
2015,Lower-middle,Eastern Africa,46.25
2015,Lower-middle,Central Africa,46.666666666666664
2015,Lower-middle,Northern Africa,60.75
2015,Lower-middle,Southern Africa,53.0
2015,Lower-middle,Western Africa,43.857142857142854
2015,Upper-middle,Eastern Africa,80.0
2015,Upper-middle,Central Africa,48.0
2015,Upper-middle,Northern Africa,71.5
2015,Upper-middle,Southern Africa,65.25
2016,Low,Eastern Africa,39.25
2016,Low,Central Africa,27.5
2016,Low,Northern Africa,46.0
2016,Low,Southern Africa,46.5
2016,Low,Western Africa,40.25
2016,Lower-middle,Eastern Africa,47.75
2016,Lower-middle,Central Africa,47.0
2016,Lower-middle,Northern Africa,61.0
2016,Lower-middle,Southern Africa,53.8
2016,Lower-middle,Western Africa,44.0
2016,Upper-middle,Eastern Africa,81.0
2016,Upper-middle,Central Africa,49.0
2016,Upper-middle,Northern Africa,71.5
2016,Upper-middle,Southern Africa,65.75
2017,Low,Eastern Africa,39.666666666666664
2017,Low,Central Africa,30.0
2017,Low,Northern Africa,47.0
2017,Low,Southern Africa,49.0
2017,Low,Western Africa,41.5
2017,Lower-middle,Eastern Africa,49.75
2017,Lower-middle,Central Africa,46.0
2017,Lower-middle,Northern Africa,63.0
2017,Lower-middle,Southern Africa,56.2
2017,Lower-middle,Western Africa,46.142857142857146
2017,Upper-middle,Eastern Africa,81.0
2017,Upper-middle,Central Africa,49.5
2017,Upper-middle,Northern Africa,71.0
2017,Upper-middle,Southern Africa,66.0
2018,Low,Eastern Africa,39.44444444444444
2018,Low,Central Africa,29.0
2018,Low,Northern Africa,47.0
2018,Low,Southern Africa,50.0
2018,Low,Western Africa,41.75
2018,Lower-middle,Eastern Africa,48.25
2018,Lower-middle,Central Africa,47.666666666666664
2018,Lower-middle,Northern Africa,63.25
2018,Lower-middle,Southern Africa,54.2
2018,Lower-middle,Western Africa,47.42857142857143
2018,Upper-middle,Eastern Africa,78.0
2018,Upper-middle,Central Africa,49.0
2018,Upper-middle,Northern Africa,69.0
2018,Upper-middle,Southern Africa,64.5
2019,Low,Eastern Africa,40.0
2019,Low,Central Africa,27.5
2019,Low,Northern Africa,47.0
2019,Low,Southern Africa,50.5
2019,Low,Western Africa,41.75
2019,Lower-middle,Eastern Africa,48.75
2019,Lower-middle,Central Africa,49.0
2019,Lower-middle,Northern Africa,62.5
2019,Lower-middle,Southern Africa,54.8
2019,Lower-middle,Western Africa,48.142857142857146
2019,Upper-middle,Eastern Africa,78.0
2019,Upper-middle,Central Africa,48.5
2019,Upper-middle,Northern Africa,67.0
2019,Upper-middle,Southern Africa,65.5
2020,Low,Eastern Africa,41.111111111111114
2020,Low,Central Africa,30.0
2020,Low,Northern Africa,47.0
2020,Low,Southern Africa,50.0
2020,Low,Western Africa,41.25
2020,Lower-middle,Eastern Africa,49.25
2020,Lower-middle,Central Africa,49.666666666666664
2020,Lower-middle,Northern Africa,62.5
2020,Lower-middle,Southern Africa,55.2
2020,Lower-middle,Western Africa,48.285714285714285
2020,Upper-middle,Eastern Africa,79.0
2020,Upper-middle,Central Africa,50.0
2020,Upper-middle,Northern Africa,68.5
2020,Upper-middle,Southern Africa,66.75
2021,Low,Eastern Africa,40.55555555555556
2021,Low,Central Africa,29.0
2021,Low,Northern Africa,46.0
2021,Low,Southern Africa,51.0
2021,Low,Western Africa,43.375
2021,Lower-middle,Eastern Africa,50.0
2021,Lower-middle,Central Africa,49.0
2021,Lower-middle,Northern Africa,62.5
2021,Lower-middle,Southern Africa,54.6
2021,Lower-middle,Western Africa,49.0
2021,Upper-middle,Eastern Africa,78.0
2021,Upper-middle,Central Africa,49.0
2021,Upper-middle,Northern Africa,69.0
2021,Upper-middle,Southern Africa,67.25
2022,Low,Eastern Africa,41.55555555555556
2022,Low,Central Africa,30.0
2022,Low,Northern Africa,48.0
2022,Low,Southern Africa,51.0
2022,Low,Western Africa,44.375
2022,Lower-middle,Eastern Africa,51.25
2022,Lower-middle,Central Africa,51.0
2022,Lower-middle,Northern Africa,61.75
2022,Lower-middle,Southern Africa,56.8
2022,Lower-middle,Western Africa,49.714285714285715
2022,Upper-middle,Eastern Africa,79.0
2022,Upper-middle,Central Africa,48.5
2022,Upper-middle,Northern Africa,70.5
2022,Upper-middle,Southern Africa,69.0
2023,Low,Eastern Africa,42.111111111111114
2023,Low,Central Africa,32.5
2023,Low,Northern Africa,48.0
2023,Low,Southern Africa,51.0
2023,Low,Western Africa,45.25
2023,Lower-middle,Eastern Africa,51.25
2023,Lower-middle,Central Africa,51.0
2023,Lower-middle,Northern Africa,63.0
2023,Lower-middle,Southern Africa,58.4
2023,Lower-middle,Western Africa,49.857142857142854
2023,Upper-middle,Eastern Africa,80.0
2023,Upper-middle,Central Africa,48.5
2023,Upper-middle,Northern Africa,70.5
2023,Upper-middle,Southern Africa,68.75
