year,income,Subregion,avg_gov_share,avg_voluntary_prepaid_share,avg_oop_share,avg_other_private_share,avg_external_share
2002,Lower-middle,Northern Africa,33.66727018499998,5.558598472499974,56.95080184999993,2.6387075583140045,1.93678507
2002,Lower-middle,Southern Africa,42.43262577,4.77626524333333,31.28049802499995,9.077194849650057,13.969696105
2002,Lower-middle,Western Africa,31.283947128571413,2.681289737999998,51.8397554671428,1.2804842792451376,11.649345839999999
2002,Upper-middle,Eastern Africa,86.68162537,,12.48222733,,0.836144799999999
2002,Upper-middle,Middle Africa,24.247967719999952,4.020665794999999,68.25829697,0.576170772314071,2.8968987449999997
2002,Upper-middle,Northern Africa,71.094715115,0.954343739999999,27.80706215,1.19759631156921,0.02225268
2002,Upper-middle,Southern Africa,50.107169149999926,25.164171922499975,18.378448845,1.4427315592765786,4.90747851
2003,Low,Eastern Africa,30.285754202857113,1.3093741133333314,41.24857248571429,4.620381991068519,23.383025441428554
2003,Low,Middle Africa,34.19550800499995,1.59750119,48.240680695,1.079135507345197,14.8871746099999
2003,Low,Northern Africa,32.46046829,1.38306212,62.56050873,2.12069463729858,1.47526622
2003,Low,Southern Africa,35.77416801499995,1.46040088,16.64298009999995,2.1820059420074345,43.940444944999996
2003,Low,Western Africa,17.019109366249975,1.49708157,57.27204775874998,2.482575237282584,21.380635618749974
2003,Lower-middle,Eastern Africa,25.95003080249995,1.6482005424999995,48.199492455,2.999317884445189,21.20295834499995
2003,Lower-middle,Middle Africa,33.63736025666663,0.46469826999999936,54.95769882333326,1.9918948213259338,8.948347806666632
2003,Lower-middle,Northern Africa,31.733359334999975,5.396282769999997,57.724170685,2.32199454307556,2.8241926724999975
2003,Lower-middle,Southern Africa,42.54920720999998,4.6793511799999665,31.113464594999954,8.477636496225971,16.46958812999997
2003,Lower-middle,Western Africa,32.463222367142826,2.2156964839999995,54.03143446714283,1.052646823227404,9.997063261428556
2003,Upper-middle,Eastern Africa,85.29311371,,13.69384193,,1.01304066
2003,Upper-middle,Middle Africa,30.38400841,3.721458824999999,62.99461555499995,0.640366524457931,2.25955069
2003,Upper-middle,Northern Africa,71.46953201499994,0.980768019999999,27.4518861749999,1.12616753578186,0.02511400499999995
2003,Upper-middle,Southern Africa,51.16884613,23.228645205,18.255098939999975,1.3586536645889247,5.9887560675
2004,Low,Eastern Africa,26.74174479142854,1.2465150966666665,38.698895862857114,3.259110649426774,30.697394505714215
2004,Low,Middle Africa,35.22697067499995,1.4913508299999996,52.07242393499995,0.9443657994270285,10.264888764999998
2004,Low,Northern Africa,37.8501396199999,1.26050424999999,57.1778716999999,2.31092405319213,1.40056026
2004,Low,Southern Africa,26.42568111,1.87173557,12.653117179999999,2.864999885332505e-06,59.049463275
2004,Low,Western Africa,18.469232081249963,1.4849973942857138,55.575958848749984,1.9917691605431653,22.120239794999975
2004,Lower-middle,Eastern Africa,28.150541542499976,1.6352847224999998,48.41536807999995,1.9810380786657296,19.817768097499975
2004,Lower-middle,Middle Africa,29.9870382966666,0.5280815899999967,54.926497143333336,1.9444848497708607,12.613898116666663
2004,Lower-middle,Northern Africa,31.649086477499974,5.20813179999997,58.48341369749995,2.2699134945869375,2.389454499999995
2004,Lower-middle,Southern Africa,42.000027179999975,4.924554326666667,31.026484964999973,8.179701169331864,17.145296332499996
2004,Lower-middle,Western Africa,32.53089537,2.4255020219999976,53.00356646999995,1.076751561462879,10.863781621428572
2004,Upper-middle,Eastern Africa,81.70999146,,15.64156914,,2.64843535
2004,Upper-middle,Middle Africa,31.35268211499995,3.723116425,61.79157829499995,0.7387581765651694,2.39386499
2004,Upper-middle,Northern Africa,68.56999587999995,1.44542754,30.153917315,1.05994176864624,0.02340215999999995
2004,Upper-middle,Southern Africa,50.612945554999996,23.258069857499976,17.4682838925,1.2266050279140441,7.43409566
2005,Low,Eastern Africa,23.26113653285713,1.3331170483333314,40.07947131428566,3.0396412809689792,32.9113137385714
2005,Low,Middle Africa,27.013698575,1.548876615,53.97112464999995,1.1251927912235231,16.34110737
2005,Low,Northern Africa,39.070961,1.31091475,54.63094711,2.30835127830505,2.67882586
2005,Low,Southern Africa,29.15954971,2.279315234999995,10.70914602499995,3.100000071754035e-06,57.85198592999995
2005,Low,Western Africa,17.91806983875,1.5321893471428556,53.57102096124995,1.8117219550268973,24.805613337499974
