year,income,Subregion,avg_mmr
2017,Lower-middle,Western Africa,490.8327965571429
2017,Upper-middle,Eastern Africa,47.23220189
2017,Upper-middle,Central Africa,197.8838455
2017,Upper-middle,Northern Africa,73.263734525
2017,Upper-middle,Southern Africa,114.762863365
2018,Low,Eastern Africa,470.8527984888889
2018,Low,Central Africa,950.8209867
2018,Low,Northern Africa,268.4488132
2018,Low,Southern Africa,199.95041600000002
2018,Low,Western Africa,476.1349960125
2018,Lower-middle,Eastern Africa,288.858135
2018,Lower-middle,Central Africa,237.90560963333334
2018,Lower-middle,Northern Africa,144.471527965
2018,Lower-middle,Southern Africa,266.9645587
2018,Lower-middle,Western Africa,476.71162098714285
2018,Upper-middle,Eastern Africa,48.60859439
2018,Upper-middle,Central Africa,189.89723425
2018,Upper-middle,Northern Africa,70.926577125
2018,Upper-middle,Southern Africa,122.819527145
2019,Low,Eastern Africa,433.8448277111111
2019,Low,Central Africa,1303.983051
2019,Low,Northern Africa,261.8607733
2019,Low,Southern Africa,185.47215865
2019,Low,Western Africa,460.5525312875
2019,Lower-middle,Eastern Africa,275.753043625
2019,Lower-middle,Central Africa,225.33430341666667
2019,Lower-middle,Northern Africa,139.8018048125
2019,Lower-middle,Southern Africa,251.03950218
2019,Lower-middle,Western Africa,461.05255301428576
2019,Upper-middle,Eastern Africa,47.89680353
2019,Upper-middle,Central Africa,188.6827193
2019,Upper-middle,Northern Africa,68.92315452
2019,Upper-middle,Southern Africa,115.40785288500001
2020,Low,Eastern Africa,422.3381210555556
2020,Low,Central Africa,1086.73914585
2020,Low,Northern Africa,273.1027491
2020,Low,Southern Africa,183.34764330000002
2020,Low,Western Africa,451.727405025
2020,Lower-middle,Eastern Africa,242.77491429999998
2020,Lower-middle,Central Africa,218.39060887000002
2020,Lower-middle,Northern Africa,141.286723125
2020,Lower-middle,Southern Africa,260.882225576
2020,Lower-middle,Western Africa,454.13557964571424
2020,Upper-middle,Eastern Africa,51.12119916
2020,Upper-middle,Central Africa,194.7209885
2020,Upper-middle,Northern Africa,83.803832415
2020,Upper-middle,Southern Africa,104.4117777825
2021,Low,Eastern Africa,439.27510468888886
2021,Low,Central Africa,997.8455115500001
2021,Low,Northern Africa,304.7569503
2021,Low,Southern Africa,223.1423615
2021,Low,Western Africa,458.67865425
2021,Lower-middle,Eastern Africa,254.76603425
2021,Lower-middle,Central Africa,247.08815606333334
2021,Lower-middle,Northern Africa,155.93643538999999
2021,Lower-middle,Southern Africa,318.67067908
2021,Lower-middle,Western Africa,457.7848011214286
2021,Upper-middle,Eastern Africa,73.94598178
2021,Upper-middle,Central Africa,225.60547680000002
2021,Upper-middle,Northern Africa,88.5815114
2021,Upper-middle,Southern Africa,172.7130084175
2022,Low,Eastern Africa,395.4666811222222
2022,Low,Central Africa,808.1598905000001
2022,Low,Northern Africa,262.6782841
2022,Low,Southern Africa,165.85819206
2022,Low,Western Africa,416.0153459375
2022,Lower-middle,Eastern Africa,225.167984725
2022,Lower-middle,Central Africa,199.75413202000001
2022,Lower-middle,Northern Africa,129.627551455
2022,Lower-middle,Southern Africa,246.05696737999997
2022,Lower-middle,Western Africa,426.0124581914286
2022,Upper-middle,Eastern Africa,88.59012388
2022,Upper-middle,Central Africa,199.47394565000002
2022,Upper-middle,Northern Africa,62.342967885
2022,Upper-middle,Southern Africa,109.2707013025
2023,Low,Eastern Africa,378.32708618888887
2023,Low,Central Africa,719.6411793499999
