year,income,Subregion,avg_nmr
2018,Upper-middle,Central Africa,25.0
2018,Upper-middle,Northern Africa,10.95
2018,Upper-middle,Southern Africa,17.875
2019,Low,Eastern Africa,26.42222222222222
2019,Low,Central Africa,34.3
2019,Low,Northern Africa,27.0
2019,Low,Southern Africa,23.6
2019,Low,Western Africa,30.7875
2019,Lower-middle,Eastern Africa,25.15
2019,Lower-middle,Central Africa,18.233333333333334
2019,Lower-middle,Northern Africa,14.275
2019,Lower-middle,Southern Africa,26.660000000000004
2019,Lower-middle,Western Africa,26.728571428571428
2019,Upper-middle,Eastern Africa,8.9
2019,Upper-middle,Central Africa,24.35
2019,Upper-middle,Northern Africa,11.0
2019,Upper-middle,Southern Africa,17.775
2020,Low,Eastern Africa,26.04444444444444
2020,Low,Central Africa,32.8
2020,Low,Northern Africa,26.4
2020,Low,Southern Africa,23.3
2020,Low,Western Africa,30.2625
2020,Lower-middle,Eastern Africa,24.65
2020,Lower-middle,Central Africa,17.8
2020,Lower-middle,Northern Africa,13.75
2020,Lower-middle,Southern Africa,26.2
2020,Lower-middle,Western Africa,26.214285714285715
2020,Upper-middle,Eastern Africa,8.9
2020,Upper-middle,Central Africa,23.75
2020,Upper-middle,Northern Africa,10.9
2020,Upper-middle,Southern Africa,17.525
2021,Low,Eastern Africa,25.655555555555555
2021,Low,Central Africa,32.75
2021,Low,Northern Africa,25.9
2021,Low,Southern Africa,22.950000000000003
2021,Low,Western Africa,29.6875
2021,Lower-middle,Eastern Africa,24.175
2021,Lower-middle,Central Africa,17.333333333333332
2021,Lower-middle,Northern Africa,13.274999999999999
2021,Lower-middle,Southern Africa,25.639999999999997
2021,Lower-middle,Western Africa,25.657142857142855
2021,Upper-middle,Eastern Africa,8.8
2021,Upper-middle,Central Africa,23.25
2021,Upper-middle,Northern Africa,10.85
2021,Upper-middle,Southern Africa,17.15
2022,Low,Eastern Africa,25.355555555555554
2022,Low,Central Africa,34.05
2022,Low,Northern Africa,25.4
2022,Low,Southern Africa,22.55
2022,Low,Western Africa,29.1375
2022,Lower-middle,Eastern Africa,23.675
2022,Lower-middle,Central Africa,16.933333333333334
2022,Lower-middle,Northern Africa,12.8
2022,Lower-middle,Southern Africa,25.16
2022,Lower-middle,Western Africa,25.128571428571426
2022,Upper-middle,Eastern Africa,8.7
2022,Upper-middle,Central Africa,22.6
2022,Upper-middle,Northern Africa,10.6
2022,Upper-middle,Southern Africa,16.775
2023,Low,Eastern Africa,24.844444444444445
2023,Low,Central Africa,31.049999999999997
2023,Low,Northern Africa,24.8
2023,Low,Southern Africa,22.1
2023,Low,Western Africa,28.6375
2023,Lower-middle,Eastern Africa,23.2
2023,Lower-middle,Central Africa,16.566666666666666
2023,Lower-middle,Northern Africa,12.35
2023,Lower-middle,Southern Africa,24.64
2023,Lower-middle,Western Africa,24.571428571428573
2023,Upper-middle,Eastern Africa,8.5
2023,Upper-middle,Central Africa,22.0
2023,Upper-middle,Northern Africa,10.5
2023,Upper-middle,Southern Africa,16.425
