year,income,Subregion,pct_desirable_elasticity,avg_health_elasticity
2013,Low,Western Africa,50.0,7.415536728575731
2013,Lower-middle,Eastern Africa,50.0,1.5472816068982076
2013,Lower-middle,Central Africa,33.33333333333333,0.8376606422822116
2013,Lower-middle,Northern Africa,100.0,9.642496439835586
2013,Lower-middle,Southern Africa,60.0,5.8586212416572625
2013,Lower-middle,Western Africa,57.14285714285714,2.5218771938133067
2013,Upper-middle,Central Africa,100.0,6.87946411000024
2013,Upper-middle,Northern Africa,0.0,-3.337381495639764
2013,Upper-middle,Southern Africa,25.0,-2.463146953265097
2014,High,Eastern Africa,0.0,0.5770178544330564
2014,Low,Eastern Africa,50.0,21.934740218137417
2014,Low,Central Africa,0.0,-22.266036939389192
2014,Low,Northern Africa,100.0,21.001456413940836
2014,Low,Southern Africa,100.0,4.048096393911381
2014,Low,Western Africa,62.5,0.8359506363789828
2014,Lower-middle,Eastern Africa,75.0,44.69258610246323
2014,Lower-middle,Central Africa,33.33333333333333,3.5430580273059378
2014,Lower-middle,Northern Africa,75.0,8.330940856849889
2014,Lower-middle,Southern Africa,40.0,-5.064522062882874
2014,Lower-middle,Western Africa,28.57142857142857,-8.701218584600115
2014,Upper-middle,Central Africa,0.0,-8.575013536506273
2014,Upper-middle,Northern Africa,100.0,3.0768918154489793
2014,Upper-middle,Southern Africa,50.0,3.4449503642419375
2015,High,Eastern Africa,0.0,-0.19727208784205352
2015,Low,Eastern Africa,25.0,1.021812288834495
2015,Low,Central Africa,0.0,-279.7287743119939
2015,Low,Northern Africa,0.0,-23.16848620657727
2015,Low,Southern Africa,50.0,79.8313904105002
2015,Low,Western Africa,25.0,-1.8751291526547327
2015,Lower-middle,Eastern Africa,50.0,8.33302498685975
2015,Lower-middle,Central Africa,66.66666666666666,42.77083385811846
2015,Lower-middle,Northern Africa,75.0,30.75981356038101
2015,Lower-middle,Southern Africa,40.0,-5.973085474866954
2015,Lower-middle,Western Africa,42.857142857142854,17.104565249780148
2015,Upper-middle,Central Africa,50.0,-13.763325969918165
2015,Upper-middle,Northern Africa,0.0,-9.440512926979094
2015,Upper-middle,Southern Africa,50.0,1.1603384642478414
2016,High,Eastern Africa,100.0,1.2306387017282345
2016,Low,Eastern Africa,62.5,3.054030412460903
2016,Low,Central Africa,100.0,8.38927687884487
2016,Low,Northern Africa,100.0,33.55908234840572
2016,Low,Southern Africa,50.0,7.653578692377479
2016,Low,Western Africa,62.5,-2.344951238513117
2016,Lower-middle,Eastern Africa,75.0,8.20061263616668
2016,Lower-middle,Central Africa,100.0,7.354678903574516
2016,Lower-middle,Northern Africa,25.0,-65.49970302331886
2016,Lower-middle,Southern Africa,40.0,-11.182689674037983
2016,Lower-middle,Western Africa,57.14285714285714,9.946921923150757
2016,Upper-middle,Central Africa,0.0,-13.51217660395772
2016,Upper-middle,Northern Africa,0.0,-4.756891690039632
2016,Upper-middle,Southern Africa,50.0,8.105919771772285
2017,High,Eastern Africa,100.0,1.0444469739574702
2017,Low,Eastern Africa,55.55555555555556,51.78492269547223
2017,Low,Central Africa,100.0,8.390989254544976
2017,Low,Northern Africa,100.0,14.941468309988771
2017,Low,Southern Africa,50.0,-9.279625154603872
2017,Low,Western Africa,62.5,7.323073055405146
2017,Lower-middle,Eastern Africa,25.0,1.121430449410418
2017,Lower-middle,Central Africa,66.66666666666666,-27.310658957271432
2017,Lower-middle,Northern Africa,25.0,-4.022667398057928
2017,Lower-middle,Southern Africa,60.0,45.443803461259655
2017,Lower-middle,Western Africa,42.857142857142854,1.456241086590333
2017,Upper-middle,Central Africa,50.0,2.384070749416127
2017,Upper-middle,Northern Africa,0.0,-0.36816136150229994
2017,Upper-middle,Southern Africa,75.0,12.07014347333098
2018,High,Eastern Africa,0.0,0.2870709434017855
2018,Low,Eastern Africa,55.55555555555556,-5.787484216686475
2018,Low,Central Africa,50.0,0.258010628493932
2018,Low,Northern Africa,100.0,6.278041473099343
2018,Low,Southern Africa,100.0,16.340532448035795
2018,Low,Western Africa,62.5,0.7657010979344613
2018,Lower-middle,Eastern Africa,75.0,6.143768237923272
2018,Lower-middle,Central Africa,66.66666666666666,47.42362432758936
2018,Lower-middle,Northern Africa,25.0,-3.1009827419711433
2018,Lower-middle,Southern Africa,40.0,-1.4716123071406695
2018,Lower-middle,Western Africa,57.14285714285714,2.0198789036563647
2018,Upper-middle,Central Africa,0.0,-0.6763656680377984
2018,Upper-middle,Northern Africa,50.0,1.6325049949922188
2018,Upper-middle,Southern Africa,25.0,-10.892343328010412
2019,High,Eastern Africa,0.0,-0.49055849123299744
2019,Low,Eastern Africa,44.44444444444444,-4.639342200107889
2019,Low,Central Africa,100.0,6.237399238239721
2019,Low,Northern Africa,100.0,1.7110622904811081
2019,Low,Southern Africa,0.0,-2.2090498857522634
2019,Low,Western Africa,50.0,1.8127470677027124
2019,Lower-middle,Eastern Africa,50.0,-8.49593631938266
2019,Lower-middle,Central Africa,33.33333333333333,-14.053210122546693
2019,Lower-middle,Northern Africa,100.0,48.16887837485081
2019,Lower-middle,Southern Africa,80.0,4.632101332197695
2019,Lower-middle,Western Africa,42.857142857142854,-52.87061004085178
2019,Upper-middle,Central Africa,50.0,1.5732026029817274
2019,Upper-middle,Northern Africa,50.0,9.215545631556532
2019,Upper-middle,Southern Africa,75.0,1.165422016980494
2020,High,Eastern Africa,0.0,-0.4742485761588582
2020,Low,Eastern Africa,22.22222222222222,-3.6684431104502715
2020,Low,Central Africa,0.0,-39.65425627891371
2020,Low,Northern Africa,0.0,-1.4930575928136696
2020,Low,Southern Africa,0.0,-3.846790734359309
2020,Low,Western Africa,25.0,-29.62519280010241
2020,Lower-middle,Eastern Africa,25.0,-1.8951384200209365
2020,Lower-middle,Central Africa,33.33333333333333,14.6162898091942
2020,Lower-middle,Northern Africa,50.0,1.9067395563618765
2020,Lower-middle,Southern Africa,40.0,-0.9383795985902992
2020,Lower-middle,Western Africa,28.57142857142857,-11.783421237368858
2020,Upper-middle,Central Africa,0.0,-0.6995942830055553
2020,Upper-middle,Northern Africa,50.0,1.2483285090577223
2020,Upper-middle,Southern Africa,0.0,0.20100543535587012
2021,High,Eastern Africa,100.0,7.595518201396458
2021,Low,Eastern Africa,66.66666666666666,-19.6292645154195
2021,Low,Central Africa,0.0,-14.615494019734399
2021,Low,Northern Africa,100.0,12.815802127001309
2021,Low,Southern Africa,0.0,-7.221944868082611
2021,Low,Western Africa,37.5,-8.596084896839923
2021,Lower-middle,Eastern Africa,50.0,-1508.6980852867528
2021,Lower-middle,Central Africa,0.0,-60.294508627064154
2021,Lower-middle,Northern Africa,50.0,-0.855438443282254
2021,Lower-middle,Southern Africa,60.0,-3.019024212009741
2021,Lower-middle,Western Africa,42.857142857142854,-0.20604020119813157
2021,Upper-middle,Central Africa,0.0,-15.407865714348471
2021,Upper-middle,Northern Africa,0.0,-1.595998823995426
2021,Upper-middle,Southern Africa,100.0,8.881886027433653
2022,High,Eastern Africa,0.0,0.6882794480079765
2022,Low,Eastern Africa,77.77777777777779,7.076500647757907
2022,Low,Central Africa,100.0,33.197385354216706
2022,Low,Northern Africa,0.0,0.16640647423191932
2022,Low,Southern Africa,100.0,16.387265739371166
2022,Low,Western Africa,37.5,-0.886711279743607
2022,Lower-middle,Eastern Africa,50.0,-1.2493922435143714
2022,Lower-middle,Central Africa,100.0,44.39310794393608
2022,Lower-middle,Northern Africa,50.0,8.161485301839871
2022,Lower-middle,Southern Africa,80.0,23.795813887329132
2022,Lower-middle,Western Africa,42.857142857142854,4.759669668383161
2022,Upper-middle,Central Africa,50.0,-1.5224980321372126
2022,Upper-middle,Northern Africa,50.0,-6.398142275716795
2022,Upper-middle,Southern Africa,0.0,-5.399045550239045
2023,High,Eastern Africa,100.0,36.3757111716322
2023,Low,Eastern Africa,55.55555555555556,23.34426125210246
2023,Low,Central Africa,0.0,-38.1456096600014
2023,Low,Northern Africa,100.0,1.0079415561555998
2023,Low,Southern Africa,50.0,1.3702212273020473
2023,Low,Western Africa,50.0,3.9888837916576807
2023,Lower-middle,Eastern Africa,50.0,0.6057626651630253
2023,Lower-middle,Central Africa,33.33333333333333,-25.142603072035755
2023,Lower-middle,Northern Africa,25.0,-7.738680104049054
2023,Lower-middle,Southern Africa,20.0,-1.1334562449670182
2023,Lower-middle,Western Africa,42.857142857142854,-3.173859734045448
2023,Upper-middle,Central Africa,50.0,10.109212296196299
2023,Upper-middle,Northern Africa,100.0,14.509916750575949
2023,Upper-middle,Southern Africa,75.0,2.0679508947125127
