year,income,Subregion,pct_tax_above_50th,pct_tax_above_75th,pct_health_gdp_above_50th,pct_health_gdp_above_75th
2011,Low,Western Africa,37.5,0.0,62.5,37.5
2011,Lower-middle,Eastern Africa,50.0,0.0,75.0,0.0
2011,Lower-middle,Middle Africa,33.33333333333333,33.33333333333333,33.33333333333333,0.0
2011,Lower-middle,Northern Africa,75.0,50.0,50.0,25.0
2011,Lower-middle,Southern Africa,80.0,60.0,60.0,60.0
2011,Lower-middle,Western Africa,42.857142857142854,14.285714285714285,0.0,0.0
2011,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2011,Upper-middle,Middle Africa,50.0,0.0,0.0,0.0
2011,Upper-middle,Northern Africa,0.0,0.0,50.0,0.0
2011,Upper-middle,Southern Africa,100.0,100.0,75.0,75.0
2012,Low,Eastern Africa,42.857142857142854,14.285714285714285,42.857142857142854,42.857142857142854
2012,Low,Middle Africa,0.0,0.0,0.0,0.0
2012,Low,Northern Africa,0.0,0.0,100.0,0.0
2012,Low,Southern Africa,50.0,50.0,100.0,50.0
2012,Low,Western Africa,37.5,0.0,62.5,12.5
2012,Lower-middle,Eastern Africa,50.0,0.0,75.0,0.0
2012,Lower-middle,Middle Africa,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
2012,Lower-middle,Northern Africa,75.0,50.0,50.0,25.0
2012,Lower-middle,Southern Africa,80.0,40.0,60.0,60.0
2012,Lower-middle,Western Africa,42.857142857142854,14.285714285714285,14.285714285714285,0.0
2012,Upper-middle,Eastern Africa,100.0,100.0,100.0,0.0
2012,Upper-middle,Middle Africa,50.0,0.0,0.0,0.0
2012,Upper-middle,Northern Africa,0.0,0.0,50.0,0.0
2012,Upper-middle,Southern Africa,100.0,100.0,75.0,75.0
2013,Low,Eastern Africa,50.0,12.5,50.0,25.0
2013,Low,Middle Africa,0.0,0.0,50.0,0.0
2013,Low,Northern Africa,0.0,0.0,100.0,100.0
2013,Low,Southern Africa,100.0,50.0,100.0,50.0
2013,Low,Western Africa,25.0,0.0,62.5,37.5
2013,Lower-middle,Eastern Africa,50.0,0.0,50.0,0.0
2013,Lower-middle,Middle Africa,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
2013,Lower-middle,Northern Africa,100.0,50.0,50.0,25.0
2013,Lower-middle,Southern Africa,60.0,40.0,60.0,60.0
2013,Lower-middle,Western Africa,42.857142857142854,14.285714285714285,14.285714285714285,0.0
2013,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2013,Upper-middle,Middle Africa,50.0,50.0,0.0,0.0
2013,Upper-middle,Northern Africa,0.0,0.0,100.0,0.0
2013,Upper-middle,Southern Africa,100.0,100.0,75.0,50.0
2014,Low,Eastern Africa,50.0,0.0,37.5,25.0
2014,Low,Middle Africa,0.0,0.0,0.0,0.0
2014,Low,Northern Africa,0.0,0.0,100.0,0.0
2014,Low,Southern Africa,100.0,50.0,100.0,100.0
2014,Low,Western Africa,37.5,0.0,62.5,37.5
2014,Lower-middle,Eastern Africa,50.0,0.0,50.0,0.0
2014,Lower-middle,Middle Africa,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
2014,Lower-middle,Northern Africa,75.0,50.0,50.0,25.0
2014,Lower-middle,Southern Africa,60.0,60.0,60.0,60.0
2014,Lower-middle,Western Africa,42.857142857142854,14.285714285714285,28.57142857142857,0.0
2014,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2014,Upper-middle,Middle Africa,50.0,50.0,0.0,0.0
2014,Upper-middle,Northern Africa,0.0,0.0,100.0,0.0
2014,Upper-middle,Southern Africa,100.0,100.0,100.0,50.0
2015,Low,Eastern Africa,37.5,0.0,37.5,25.0
2015,Low,Middle Africa,0.0,0.0,50.0,0.0
2015,Low,Northern Africa,0.0,0.0,100.0,0.0
2015,Low,Southern Africa,50.0,50.0,100.0,100.0
2015,Low,Western Africa,50.0,0.0,75.0,37.5
2015,Lower-middle,Eastern Africa,50.0,25.0,0.0,0.0
2015,Lower-middle,Middle Africa,66.66666666666666,33.33333333333333,33.33333333333333,33.33333333333333
2015,Lower-middle,Northern Africa,75.0,50.0,75.0,0.0
2015,Lower-middle,Southern Africa,60.0,40.0,60.0,60.0
2015,Lower-middle,Western Africa,42.857142857142854,28.57142857142857,14.285714285714285,0.0
2015,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2015,Upper-middle,Middle Africa,50.0,0.0,0.0,0.0
2015,Upper-middle,Northern Africa,0.0,0.0,100.0,50.0
2015,Upper-middle,Southern Africa,100.0,100.0,100.0,50.0
2016,Low,Eastern Africa,25.0,0.0,50.0,12.5
2016,Low,Middle Africa,0.0,0.0,50.0,0.0
2016,Low,Northern Africa,0.0,0.0,100.0,0.0
2016,Low,Southern Africa,100.0,50.0,100.0,100.0
2016,Low,Western Africa,37.5,12.5,62.5,50.0
2016,Lower-middle,Eastern Africa,50.0,25.0,0.0,0.0
2016,Lower-middle,Middle Africa,66.66666666666666,0.0,33.33333333333333,33.33333333333333
2016,Lower-middle,Northern Africa,100.0,50.0,75.0,25.0
2016,Lower-middle,Southern Africa,60.0,40.0,60.0,60.0
2016,Lower-middle,Western Africa,42.857142857142854,28.57142857142857,14.285714285714285,0.0
2016,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2016,Upper-middle,Middle Africa,0.0,0.0,0.0,0.0
2016,Upper-middle,Northern Africa,50.0,0.0,100.0,0.0
2016,Upper-middle,Southern Africa,100.0,100.0,100.0,50.0
2017,Low,Eastern Africa,33.33333333333333,11.11111111111111,44.44444444444444,22.22222222222222
2017,Low,Middle Africa,0.0,0.0,50.0,50.0
2017,Low,Northern Africa,0.0,0.0,100.0,0.0
2017,Low,Southern Africa,100.0,50.0,100.0,100.0
2017,Low,Western Africa,37.5,25.0,75.0,37.5
2017,Lower-middle,Eastern Africa,50.0,0.0,25.0,0.0
2017,Lower-middle,Middle Africa,33.33333333333333,0.0,33.33333333333333,33.33333333333333
2017,Lower-middle,Northern Africa,100.0,50.0,75.0,0.0
2017,Lower-middle,Southern Africa,60.0,40.0,60.0,40.0
2017,Lower-middle,Western Africa,42.857142857142854,14.285714285714285,0.0,0.0
2017,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2017,Upper-middle,Middle Africa,0.0,0.0,0.0,0.0
2017,Upper-middle,Northern Africa,50.0,0.0,50.0,0.0
2017,Upper-middle,Southern Africa,100.0,100.0,100.0,75.0
2018,Low,Eastern Africa,33.33333333333333,0.0,33.33333333333333,22.22222222222222
2018,Low,Middle Africa,0.0,0.0,50.0,50.0
2018,Low,Northern Africa,0.0,0.0,0.0,0.0
2018,Low,Southern Africa,100.0,50.0,100.0,100.0
2018,Low,Western Africa,25.0,12.5,75.0,37.5
2018,Lower-middle,Eastern Africa,50.0,0.0,25.0,0.0
2018,Lower-middle,Middle Africa,66.66666666666666,0.0,33.33333333333333,0.0
2018,Lower-middle,Northern Africa,100.0,50.0,75.0,25.0
2018,Lower-middle,Southern Africa,60.0,60.0,60.0,40.0
2018,Lower-middle,Western Africa,57.14285714285714,28.57142857142857,14.285714285714285,0.0
2018,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2018,Upper-middle,Middle Africa,0.0,0.0,0.0,0.0
2018,Upper-middle,Northern Africa,0.0,0.0,100.0,0.0
2018,Upper-middle,Southern Africa,100.0,100.0,100.0,75.0
2019,Low,Eastern Africa,33.33333333333333,11.11111111111111,44.44444444444444,22.22222222222222
2019,Low,Middle Africa,0.0,0.0,50.0,50.0
2019,Low,Northern Africa,0.0,0.0,0.0,0.0
2019,Low,Southern Africa,100.0,50.0,100.0,100.0
2019,Low,Western Africa,37.5,0.0,75.0,25.0
2019,Lower-middle,Eastern Africa,50.0,0.0,25.0,0.0
2019,Lower-middle,Middle Africa,33.33333333333333,0.0,33.33333333333333,0.0
2019,Lower-middle,Northern Africa,100.0,50.0,50.0,25.0
2019,Lower-middle,Southern Africa,60.0,60.0,60.0,60.0
2019,Lower-middle,Western Africa,57.14285714285714,28.57142857142857,14.285714285714285,0.0
2019,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2019,Upper-middle,Middle Africa,0.0,0.0,0.0,0.0
2019,Upper-middle,Northern Africa,0.0,0.0,100.0,0.0
2019,Upper-middle,Southern Africa,100.0,100.0,100.0,75.0
