year,income,Subregion,gini_public_health_exp
2014,Lower-middle,Southern Africa,0.22896105693227775
2014,Lower-middle,Western Africa,0.5312669996266384
2014,Upper-middle,Eastern Africa,0.0
2014,Upper-middle,Middle Africa,0.07954988908984495
2014,Upper-middle,Northern Africa,0.043488096408611066
2014,Upper-middle,Southern Africa,0.04052222567187602
2015,Low,Eastern Africa,0.3401978128913845
2015,Low,Middle Africa,0.3115599613337987
2015,Low,Northern Africa,0.0
2015,Low,Southern Africa,0.021232494640268662
2015,Low,Western Africa,0.13603319389191348
2015,Lower-middle,Eastern Africa,0.346233620975535
2015,Lower-middle,Middle Africa,0.2489244857750248
2015,Lower-middle,Northern Africa,0.3176266896114581
2015,Lower-middle,Southern Africa,0.30299667063865154
2015,Lower-middle,Western Africa,0.5319175793354989
2015,Upper-middle,Eastern Africa,0.0
2015,Upper-middle,Middle Africa,0.12072979127902816
2015,Upper-middle,Northern Africa,0.09604649831693335
2015,Upper-middle,Southern Africa,0.04990556931799994
2016,Low,Eastern Africa,0.3126142595618675
2016,Low,Middle Africa,0.2051963903564713
2016,Low,Northern Africa,0.0
2016,Low,Southern Africa,0.025240403038260473
2016,Low,Western Africa,0.2299396775628022
2016,Lower-middle,Eastern Africa,0.26597556817207635
2016,Lower-middle,Middle Africa,0.35607091027658666
2016,Lower-middle,Northern Africa,0.3459719394811551
2016,Lower-middle,Southern Africa,0.3181369371618339
2016,Lower-middle,Western Africa,0.5308753288654573
2016,Upper-middle,Eastern Africa,0.0
2016,Upper-middle,Middle Africa,0.17548855560714416
2016,Upper-middle,Northern Africa,0.14239391134256651
2016,Upper-middle,Southern Africa,0.016555831082188943
2017,Low,Eastern Africa,0.3544266895116328
2017,Low,Middle Africa,0.08778264952224846
2017,Low,Northern Africa,0.0
2017,Low,Southern Africa,0.010300879597997081
2017,Low,Western Africa,0.25164171085499665
2017,Lower-middle,Eastern Africa,0.22399019360048888
2017,Lower-middle,Middle Africa,0.4537633676774089
2017,Lower-middle,Northern Africa,0.3494939746923522
2017,Lower-middle,Southern Africa,0.3219419885031225
2017,Lower-middle,Western Africa,0.5237193490568417
2017,Upper-middle,Eastern Africa,0.0
2017,Upper-middle,Middle Africa,0.16380519787679404
2017,Upper-middle,Northern Africa,0.1378970295101316
2017,Upper-middle,Southern Africa,0.06431940798512303
2018,Low,Eastern Africa,0.3265126608738471
2018,Low,Middle Africa,0.07999732388784553
2018,Low,Northern Africa,0.0
2018,Low,Southern Africa,0.0065385174989704975
2018,Low,Western Africa,0.22914953808046512
2018,Lower-middle,Eastern Africa,0.2371021642420632
2018,Lower-middle,Middle Africa,0.4020855128079721
2018,Lower-middle,Northern Africa,0.3517520828175824
2018,Lower-middle,Southern Africa,0.31319257721468796
2018,Lower-middle,Western Africa,0.5603470137104791
2018,Upper-middle,Eastern Africa,0.0
2018,Upper-middle,Middle Africa,0.14643730471621974
2018,Upper-middle,Northern Africa,0.18896695728965374
2018,Upper-middle,Southern Africa,0.03323367341833494
2019,Low,Eastern Africa,0.32559327128348836
2019,Low,Middle Africa,0.04867340321566438
2019,Low,Northern Africa,0.0
2019,Low,Southern Africa,0.01615817970417055
2019,Low,Western Africa,0.21838704194120484
2019,Lower-middle,Eastern Africa,0.24056943887746152
2019,Lower-middle,Middle Africa,0.3286148152072028
2019,Lower-middle,Northern Africa,0.3406629597164581
2019,Lower-middle,Southern Africa,0.4759796249127235
2019,Lower-middle,Western Africa,0.5659363118942775
2019,Upper-middle,Eastern Africa,0.0
2019,Upper-middle,Middle Africa,0.19400971396087452
2019,Upper-middle,Northern Africa,0.22914814294714692
2019,Upper-middle,Southern Africa,0.048595309784280616
2020,Low,Eastern Africa,0.3693549908163043
2020,Low,Middle Africa,0.04788224295568844
2020,Low,Northern Africa,0.0
2020,Low,Southern Africa,0.04041291429541727
2020,Low,Western Africa,0.22150478030673648
2020,Lower-middle,Eastern Africa,0.2748023042307939
2020,Lower-middle,Middle Africa,0.33913221283936545
2020,Lower-middle,Northern Africa,0.3659393579419823
2020,Lower-middle,Southern Africa,0.38639395815633315
2020,Lower-middle,Western Africa,0.5633885935724909
2020,Upper-middle,Eastern Africa,0.0
